RunDate,RunTime,ISO,Utility,PremiseId,Year,RateClass,Strata,MeterType,RecipeICap
2016-10-27,14:35,PJM,PSEG,PE000007894844543331,2015,LPLS-INT,Null,INT,1647.58
2016-10-27,14:35,PJM,PSEG,PE000007897006838330,2015,LPLP,Null,INT,122.656
2016-10-27,14:35,PJM,PSEG,PE000007897006838330,2016,LPLP,Null,INT,132.423
2016-10-27,14:35,PJM,PSEG,PE000007898598391186,2016,LPLS-INT,LPLS,INT,97.3199
2016-10-27,14:35,PJM,PSEG,PE000007903223190752,2016,LPLS-INT,Null,INT,337.436
2016-10-27,14:35,PJM,PSEG,PE000007912140663664,2016,GLP-INT,Null,INT,71.4772
2016-10-27,14:35,PJM,PSEG,PE000007913325243387,2015,LPLP,Null,INT,520.663
2016-10-27,14:35,PJM,PSEG,PE000007925158304163,2015,LPLS-INT,Null,INT,216.432
2016-10-27,14:35,PJM,PSEG,PE000007930330144652,2016,LPLS-INT,Null,INT,240.554
2016-10-27,14:35,PJM,PSEG,PE000007933420740381,2015,LPLS-INT,LPLS,INT,493.509
2016-10-27,14:35,PJM,PSEG,PE000007933420740381,2016,LPLS-INT,LPLS,INT,513.537
2016-10-27,14:35,PJM,PSEG,PE000007939415142841,2016,LPLS-INT,Null,INT,125.662
2016-10-27,14:35,PJM,PSEG,PE000007947244543861,2015,LPLS-INT,Null,INT,1671.06
2016-10-27,14:35,PJM,PSEG,PE000007949061132145,2015,LPLS-INT,LPLS,INT,641.711
2016-10-27,14:35,PJM,PSEG,PE000007967742347741,2016,LPLS-INT,Null,INT,110.182
2016-10-27,14:35,PJM,PSEG,PE000007980088444834,2016,LPLS-INT,Null,INT,381.562
2016-10-27,14:35,PJM,PSEG,PE000007988772542858,2016,LPLS-INT,LPLS,INT,154.277
2016-10-27,14:35,PJM,PSEG,PE000007990545144141,2015,LPLS-INT,LPLS,INT,465.697
2016-10-27,14:35,PJM,PSEG,PE000007990545144141,2016,LPLS-INT,LPLS,INT,485.662
2016-10-27,14:35,PJM,PSEG,PE000007995559714064,2016,LPLS-NON,Null,INT,514.1
