RunDate,RunTime,ISO,Utility,PremiseId,Year,RateClass,Strata,MeterType,RecipeICap
2016-10-24,22:34,PJM,PSEG,PE000007894844543331,2015,LPLS-INT,Null,INT,1647.58
2016-10-24,22:34,PJM,PSEG,PE000007897006838330,2015,LPLP,Null,INT,122.656
2016-10-24,22:34,PJM,PSEG,PE000007897006838330,2016,LPLP,Null,INT,132.423
2016-10-24,22:34,PJM,PSEG,PE000007898598391186,2016,LPLS-INT,LPLS,INT,97.3199
2016-10-24,22:34,PJM,PSEG,PE000007903223190752,2016,LPLS-INT,Null,INT,337.436
2016-10-24,22:34,PJM,PSEG,PE000007912140663664,2016,GLP-INT,Null,INT,71.4772
2016-10-24,22:34,PJM,PSEG,PE000007913325243387,2015,LPLP,Null,INT,520.663
2016-10-24,22:34,PJM,PSEG,PE000007925158304163,2015,LPLS-INT,Null,INT,216.432
2016-10-24,22:34,PJM,PSEG,PE000007930330144652,2016,LPLS-INT,Null,INT,240.554
2016-10-24,22:34,PJM,PSEG,PE000007933420740381,2015,LPLS-INT,LPLS,INT,493.509
2016-10-24,22:34,PJM,PSEG,PE000007933420740381,2016,LPLS-INT,LPLS,INT,513.537
2016-10-24,22:34,PJM,PSEG,PE000007939415142841,2016,LPLS-INT,Null,INT,125.662
2016-10-24,22:34,PJM,PSEG,PE000007947244543861,2015,LPLS-INT,Null,INT,1671.06
2016-10-24,22:34,PJM,PSEG,PE000007949061132145,2015,LPLS-INT,LPLS,INT,641.711
2016-10-24,22:34,PJM,PSEG,PE000007967742347741,2016,LPLS-INT,Null,INT,110.182
2016-10-24,22:34,PJM,PSEG,PE000007980088444834,2016,LPLS-INT,Null,INT,381.562
2016-10-24,22:34,PJM,PSEG,PE000007988772542858,2016,LPLS-INT,LPLS,INT,154.277
2016-10-24,22:34,PJM,PSEG,PE000007990545144141,2015,LPLS-INT,LPLS,INT,465.697
2016-10-24,22:34,PJM,PSEG,PE000007990545144141,2016,LPLS-INT,LPLS,INT,485.662
2016-10-24,22:34,PJM,PSEG,PE000007995559714064,2016,LPLS-NON,Null,INT,514.1
2016-10-24,22:34,PJM,PSEG,PE000008011631240393,2015,LPLS-NON,Null,INT,605.907
2016-10-24,22:34,PJM,PSEG,PE000008011631240393,2016,LPLS-NON,Null,INT,562.604
2016-10-24,22:34,PJM,PSEG,PE000008012869742548,2016,LPLS-INT,LPLS,INT,740.294
2016-10-24,22:34,PJM,PSEG,PE000008025929405990,2016,LPLS-INT,LPLS,INT,1132.
2016-10-24,22:34,PJM,PSEG,PE000008027731242930,2016,LPLS-INT,Null,INT,148.958
2016-10-24,22:34,PJM,PSEG,PE000008029325142708,2016,LPLS-INT,LPLS,INT,217.272
2016-10-24,22:34,PJM,PSEG,PE000008041182043622,2016,LPLS-INT,LPLS,INT,545.499
2016-10-24,22:34,PJM,PSEG,PE000008042986345109,2015,LPLS-INT,LPLS,INT,147.551
2016-10-24,22:34,PJM,PSEG,PE000008053073624115,2015,LPLS-INT,Null,INT,401.011
2016-10-24,22:34,PJM,PSEG,PE000008063200391301,2016,LPLS-INT,LPLS,INT,960.434
2016-10-24,22:34,PJM,PSEG,PE000008065844683298,2015,LPLP,LPLP,INT,725.736
2016-10-24,22:34,PJM,PSEG,PE000008065844683298,2016,LPLP,LPLP,INT,723.856
2016-10-24,22:34,PJM,PSEG,PE000008073309045699,2015,LPLP,LPLP,INT,569.935
2016-10-24,22:34,PJM,PSEG,PE000008094900133316,2015,GLP-INT,GLP,INT,55.8045
2016-10-24,22:34,PJM,PSEG,PE000008109389034061,2015,LPLS-INT,Null,INT,40.711
2016-10-24,22:34,PJM,PSEG,PE000008110547044939,2016,LPLS-INT,LPLS,INT,153.133
2016-10-24,22:34,PJM,PSEG,PE000008117645538564,2015,GLP-INT,Null,INT,69.056
2016-10-24,22:34,PJM,PSEG,PE000008119479738058,2016,LPLS-INT,LPLS,INT,556.137
2016-10-24,22:34,PJM,PSEG,PE000008119994520954,2015,LPLS-INT,Null,INT,364.033
2016-10-24,22:34,PJM,PSEG,PE000008127882244320,2016,LPLS-INT,LPLS,INT,173.
2016-10-24,22:34,PJM,PSEG,PE000008127978849257,2015,LPLP,LPLP,INT,798.635
2016-10-24,22:34,PJM,PSEG,PE000008138053744933,2015,LPLS-INT,LPLS,INT,1095.85
2016-10-24,22:34,PJM,PSEG,PE000008138053744933,2016,LPLS-INT,LPLS,INT,1040.55
2016-10-24,22:34,PJM,PSEG,PE000008155230963650,2015,LPLS-INT,Null,INT,144.883
2016-10-24,22:34,PJM,PSEG,PE000008157472591430,2015,LPLP,Null,INT,577.006
2016-10-24,22:34,PJM,PSEG,PE000008157472591430,2016,LPLP,Null,INT,710.545
2016-10-24,22:34,PJM,PSEG,PE000008169729422422,2015,LPLP,LPLP,INT,1256.54
2016-10-24,22:34,PJM,PSEG,PE000008169729422422,2016,LPLP,LPLP,INT,1232.6
2016-10-24,22:34,PJM,PSEG,PE000008192904407565,2016,LPLS-INT,LPLS,INT,188.605
2016-10-24,22:34,PJM,PSEG,PE000008197594847716,2015,LPLS-INT,LPLS,INT,898.596
2016-10-24,22:34,PJM,PSEG,PE000008213030345592,2016,LPLS-INT,Null,INT,106.785
2016-10-24,22:34,PJM,PSEG,PE000008213396840389,2016,LPLS-INT,Null,INT,102.051
2016-10-24,22:34,PJM,PSEG,PE000008218242990337,2016,LPLS-NON,Null,INT,755.216
2016-10-24,22:34,PJM,PSEG,PE000008220592343570,2015,LPLS-INT,LPLS,INT,519.278
2016-10-24,22:34,PJM,PSEG,PE000008220592343570,2016,LPLS-INT,LPLS,INT,523.36
2016-10-24,22:34,PJM,PSEG,PE000008223047544532,2016,LPLS-INT,LPLS,INT,69.2558
2016-10-24,22:34,PJM,PSEG,PE000008236965371019,2016,GLP-INT,GLP,INT,60.9421
2016-10-24,22:34,PJM,PSEG,PE000008239919785415,2015,LPLS-INT,LPLS,INT,940.66
2016-10-24,22:34,PJM,PSEG,PE000008239919785415,2016,LPLS-INT,LPLS,INT,870.97
2016-10-24,22:34,PJM,PSEG,PE000008275846728675,2016,LPLS-INT,Null,INT,151.162
2016-10-24,22:34,PJM,PSEG,PE000008309747764074,2016,LPLS-NON,Null,INT,676.25
2016-10-24,22:34,PJM,PSEG,PE000008314766061668,2015,LPLS-INT,LPLS,INT,351.526
2016-10-24,22:34,PJM,PSEG,PE000008316273514295,2016,LPLS-INT,LPLS,INT,373.31
2016-10-24,22:34,PJM,PSEG,PE000008324654653579,2015,LPLS-INT,LPLS,INT,693.544
2016-10-24,22:34,PJM,PSEG,PE000008324654653579,2016,LPLS-INT,LPLS,INT,687.731
2016-10-24,22:34,PJM,PSEG,PE000008334836742674,2015,LPLS-INT,Null,INT,627.475
2016-10-24,22:34,PJM,PSEG,PE000008334836742674,2016,LPLS-INT,Null,INT,555.34
2016-10-24,22:34,PJM,PSEG,PE000008345788744080,2015,LPLP,LPLP,INT,873.994
2016-10-24,22:34,PJM,PSEG,PE000008355110145060,2015,LPLS-INT,Null,INT,850.593
2016-10-24,22:34,PJM,PSEG,PE000008355110145060,2016,LPLS-INT,Null,INT,778.123
2016-10-24,22:34,PJM,PSEG,PE000008375140445566,2015,LPLS-INT,LPLS,INT,480.074
2016-10-24,22:34,PJM,PSEG,PE000008385813407048,2015,LPLS-INT,Null,INT,195.665
2016-10-24,22:34,PJM,PSEG,PE000008398466632743,2015,LPLS-INT,LPLS,INT,500.5
2016-10-24,22:34,PJM,PSEG,PE000008423779148601,2015,LPLS-INT,LPLS,INT,763.178
2016-10-24,22:34,PJM,PSEG,PE000008423779148601,2016,LPLS-INT,LPLS,INT,690.133
2016-10-24,22:34,PJM,PSEG,PE000008440839271588,2015,LPLS-INT,LPLS,INT,150.832
2016-10-24,22:34,PJM,PSEG,PE000008440839271588,2016,LPLS-INT,LPLS,INT,127.026
2016-10-24,22:34,PJM,PSEG,PE000008441260008939,2016,LPLS-INT,LPLS,INT,384.865
2016-10-24,22:34,PJM,PSEG,PE000008441261808926,2016,LPLS-INT,LPLS,INT,426.6
2016-10-24,22:34,PJM,PSEG,PE000008466869898181,2016,LPLS-INT,LPLS,INT,234.011
2016-10-24,22:34,PJM,PSEG,PE000008478809065214,2016,LPLS-INT,Null,INT,123.89
2016-10-24,22:34,PJM,PSEG,PE000008502894278629,2015,LPLS-INT,LPLS,INT,582.372
2016-10-24,22:34,PJM,PSEG,PE000008502901559728,2015,LPLS-INT,LPLS,INT,672.758
2016-10-24,22:34,PJM,PSEG,PE000008502901559728,2016,LPLS-INT,LPLS,INT,567.056
2016-10-24,22:34,PJM,PSEG,PE000008517243544064,2015,LPLS-INT,Null,INT,679.017
2016-10-24,22:34,PJM,PSEG,PE000008526894470639,2015,LPLP,LPLP,INT,1027.44
2016-10-24,22:34,PJM,PSEG,PE000008526894470639,2016,LPLP,LPLP,INT,992.489
2016-10-24,22:34,PJM,PSEG,PE000008537091446897,2016,LPLS-INT,LPLS,INT,487.044
2016-10-24,22:34,PJM,PSEG,PE000008542395244908,2015,GLP-INT,Null,INT,-45.1907
2016-10-24,22:34,PJM,PSEG,PE000008542395244908,2016,GLP-INT,Null,INT,-65.113
2016-10-24,22:34,PJM,PSEG,PE000008567345753575,2015,LPLS-INT,LPLS,INT,235.602
2016-10-24,22:34,PJM,PSEG,PE000008610074071987,2015,LPLS-INT,Null,INT,346.276
2016-10-24,22:34,PJM,PSEG,PE000008616937292730,2016,GLP-INT,GLP,INT,-13.5569
2016-10-24,22:34,PJM,PSEG,PE000008627111155897,2015,LPLS-INT,LPLS,INT,1741.61
2016-10-24,22:34,PJM,PSEG,PE000008628923804102,2015,LPLS-INT,Null,INT,846.743
2016-10-24,22:34,PJM,PSEG,PE000008641263243415,2015,LPLS-INT,Null,INT,134.211
2016-10-24,22:34,PJM,PSEG,PE000008703256140417,2016,LPLS-INT,LPLS,INT,5.19255
2016-10-24,22:34,PJM,PSEG,PE000008706684142479,2016,LPLS-INT,LPLS,INT,134.898
2016-10-24,22:34,PJM,PSEG,PE000008710758785604,2016,LPLS-INT,LPLS,INT,501.892
2016-10-24,22:34,PJM,PSEG,PE000008717329098168,2015,LPLS-INT,LPLS,INT,201.668
2016-10-24,22:34,PJM,PSEG,PE000008720355057592,2016,LPLS-INT,Null,INT,678.827
2016-10-24,22:34,PJM,PSEG,PE000008731802895753,2015,LPLS-INT,Null,INT,454.303
2016-10-24,22:34,PJM,PSEG,PE000008733332488892,2015,LPLS-INT,LPLS,INT,526.789
2016-10-24,22:34,PJM,PSEG,PE000008733334045465,2016,LPLS-INT,LPLS,INT,524.41
2016-10-24,22:34,PJM,PSEG,PE000008734766244762,2016,LPLS-INT,LPLS,INT,389.039
2016-10-24,22:34,PJM,PSEG,PE000008750530169195,2015,LPLS-INT,Null,INT,754.392
2016-10-24,22:34,PJM,PSEG,PE000008750530169195,2016,LPLS-INT,Null,INT,621.653
2016-10-24,22:34,PJM,PSEG,PE000008768230868092,2016,LPLS-INT,Null,INT,157.01
2016-10-24,22:34,PJM,PSEG,PE000008795926843829,2015,GLP-INT,Null,INT,-32.642
2016-10-24,22:34,PJM,PSEG,PE000008832560045538,2016,LPLS-INT,Null,INT,630.215
2016-10-24,22:34,PJM,PSEG,PE000008839551292336,2015,GLP-INT,Null,INT,-8.3667
2016-10-24,22:34,PJM,PSEG,PE000008839551292336,2016,GLP-INT,Null,INT,-13.7694
2016-10-24,22:34,PJM,PSEG,PE000008845242038211,2015,LPLS-INT,LPLS,INT,767.575
2016-10-24,22:34,PJM,PSEG,PE000008845242038211,2016,LPLS-INT,LPLS,INT,697.798
2016-10-24,22:34,PJM,PSEG,PE000008855661842970,2016,LPLS-INT,LPLS,INT,245.1
2016-10-24,22:34,PJM,PSEG,PE000008870499438404,2015,LPLS-INT,Null,INT,507.51
2016-10-24,22:34,PJM,PSEG,PE000008879508321726,2015,LPLS-INT,Null,INT,425.009
2016-10-24,22:34,PJM,PSEG,PE000008885468259545,2015,LPLS-INT,LPLS,INT,589.389
2016-10-24,22:34,PJM,PSEG,PE000008908702743350,2015,LPLS-INT,LPLS,INT,840.599
2016-10-24,22:34,PJM,PSEG,PE000008927944244924,2016,LPLS-INT,LPLS,INT,214.446
2016-10-24,22:34,PJM,PSEG,PE000008933313264799,2015,LPLS-INT,Null,INT,383.11
2016-10-24,22:34,PJM,PSEG,PE000008933313264799,2016,LPLS-INT,Null,INT,447.706
2016-10-24,22:34,PJM,PSEG,PE000008948960362228,2015,LPLS-INT,LPLS,INT,396.301
2016-10-24,22:34,PJM,PSEG,PE000008948960362228,2016,LPLS-INT,LPLS,INT,548.573
2016-10-24,22:34,PJM,PSEG,PE000008950537491555,2016,LPLS-INT,LPLS,INT,213.745
2016-10-24,22:34,PJM,PSEG,PE000009007874244715,2015,LPLP,Null,INT,793.855
2016-10-24,22:34,PJM,PSEG,PE000009035153747165,2015,LPLS-INT,LPLS,INT,250.23
2016-10-24,22:34,PJM,PSEG,PE000009035153747165,2016,LPLS-INT,LPLS,INT,241.636
2016-10-24,22:34,PJM,PSEG,PE000009043986045699,2015,LPLP,LPLP,INT,521.144
2016-10-24,22:34,PJM,PSEG,PE000009050428356039,2015,LPLP,Null,INT,2334.66
2016-10-24,22:34,PJM,PSEG,PE000009071558269704,2015,LPLS-INT,LPLS,INT,164.841
2016-10-24,22:34,PJM,PSEG,PE000009077585943275,2015,LPLS-INT,Null,INT,78.3363
2016-10-24,22:34,PJM,PSEG,PE000009098952623526,2015,LPLP,LPLP,INT,4131.6
2016-10-24,22:34,PJM,PSEG,PE000009098952623526,2016,LPLP,LPLP,INT,4049.21
2016-10-24,22:34,PJM,PSEG,PE000009114036868108,2015,LPLS-INT,Null,INT,518.006
2016-10-24,22:34,PJM,PSEG,PE000009127324318427,2015,LPLS-INT,Null,INT,96.4715
2016-10-24,22:34,PJM,PSEG,PE000009128318459565,2015,LPLS-INT,LPLS,INT,562.007
2016-10-24,22:34,PJM,PSEG,PE000009164013643908,2015,LPLS-NON,Null,INT,352.528
2016-10-24,22:34,PJM,PSEG,PE000009164016905413,2015,LPLS-INT,LPLS,INT,444.165
2016-10-24,22:34,PJM,PSEG,PE000009171078042804,2015,LPLS-NON,Null,INT,710.063
2016-10-24,22:34,PJM,PSEG,PE000009187131974446,2015,GLP-INT,Null,INT,-13.3993
2016-10-24,22:34,PJM,PSEG,PE000009195837124672,2016,LPLS-INT,Null,INT,436.521
2016-10-24,22:34,PJM,PSEG,PE000009214756074431,2015,GLP-INT,Null,INT,-23.4443
2016-10-24,22:34,PJM,PSEG,PE000009220971742933,2015,LPLS-INT,Null,INT,-148.281
