RunDate,RunTime,ISO,Utility,PremiseId,Year,RateClass,Strata,MeterType,RecipeICap
2016-10-21,18:02,PJM,PSEG,PE000007893249840289,2017,LPLS-NON,LPLS,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007894398242721,2015,GLP-NON,Null,CON,2.99423
2016-10-21,18:02,PJM,PSEG,PE000007894791844614,2016,GLP-NON,Null,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007894844543331,2015,LPLS-INT,Null,CON,1452.78
2016-10-21,18:02,PJM,PSEG,PE000007897005038330,2015,GLP-NON,Null,CON,1.77791
2016-10-21,18:02,PJM,PSEG,PE000007897006838330,2015,LPLP,Null,CON,111.58
2016-10-21,18:02,PJM,PSEG,PE000007897006838330,2016,LPLP,Null,CON,100.877
2016-10-21,18:02,PJM,PSEG,PE000007897006838330,2017,LPLP,Null,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007898047163340,2015,GLP-NON,Null,CON,2.16414
2016-10-21,18:02,PJM,PSEG,PE000007898598391186,2016,LPLS-INT,LPLS,CON,89.2565
2016-10-21,18:02,PJM,PSEG,PE000007898598391186,2017,LPLS-INT,LPLS,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007899264145684,2016,LPLS-INT,LPLS,CON,170.357
2016-10-21,18:02,PJM,PSEG,PE000007899508198148,2015,LPLS-INT,LPLS,CON,177.46
2016-10-21,18:02,PJM,PSEG,PE000007899508198148,2016,LPLS-INT,LPLS,CON,155.657
2016-10-21,18:02,PJM,PSEG,PE000007899508198148,2017,LPLS-INT,LPLS,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007901623491579,2015,GLP-NON,Null,CON,0.649268
2016-10-21,18:02,PJM,PSEG,PE000007902973238245,2015,GLP-NON,Null,CON,0.590521
2016-10-21,18:02,PJM,PSEG,PE000007903223190752,2015,LPLS-INT,Null,CON,200.532
2016-10-21,18:02,PJM,PSEG,PE000007903223190752,2016,LPLS-INT,Null,CON,269.724
2016-10-21,18:02,PJM,PSEG,PE000007903223190752,2017,LPLS-INT,Null,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007906437447741,2015,GLP-NON,Null,CON,3.36232
2016-10-21,18:02,PJM,PSEG,PE000007909260724877,2015,GLP-NON,Null,CON,2.05095
2016-10-21,18:02,PJM,PSEG,PE000007909295387578,2015,GLP-NON,Null,CON,4.013
2016-10-21,18:02,PJM,PSEG,PE000007912140663664,2015,GLP-INT,Null,CON,31.9261
2016-10-21,18:02,PJM,PSEG,PE000007912140663664,2016,GLP-INT,Null,CON,29.6381
2016-10-21,18:02,PJM,PSEG,PE000007912140663664,2017,GLP-INT,Null,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007912634852758,2015,RHS,RHS (HTG),CON,15.0473
2016-10-21,18:02,PJM,PSEG,PE000007912634852758,2016,RHS,RHS (HTG),CON,14.7574
2016-10-21,18:02,PJM,PSEG,PE000007912634852758,2017,RHS,RHS (HTG),CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007912635523716,2015,GLP-NON,GLP,CON,9.15413
2016-10-21,18:02,PJM,PSEG,PE000007912637123819,2015,GLP-NON,GLP,CON,3.64472
2016-10-21,18:02,PJM,PSEG,PE000007912640523786,2015,GLP-NON,GLP,CON,3.04326
2016-10-21,18:02,PJM,PSEG,PE000007912641323868,2015,GLP-NON,GLP,CON,4.09378
2016-10-21,18:02,PJM,PSEG,PE000007912654652895,2015,GLP-NON,GLP,CON,3.24469
2016-10-21,18:02,PJM,PSEG,PE000007913325243387,2015,LPLP,Null,CON,448.891
2016-10-21,18:02,PJM,PSEG,PE000007913822842756,2015,GLP-NON,GLP,CON,0.577821
2016-10-21,18:02,PJM,PSEG,PE000007913822842756,2016,GLP-NON,GLP,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007913823642756,2015,GLP-NON,GLP,CON,98.7683
2016-10-21,18:02,PJM,PSEG,PE000007914758399552,2015,LPLS-NON,Null,CON,36.6173
2016-10-21,18:02,PJM,PSEG,PE000007915017344894,2016,LPLS-INT,LPLS,CON,174.473
2016-10-21,18:02,PJM,PSEG,PE000007915017344894,2017,LPLS-INT,LPLS,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007923387019004,2015,GLP-NON,Null,CON,35.9786
2016-10-21,18:02,PJM,PSEG,PE000007923654324927,2015,GLP-NON,Null,CON,3.00975
2016-10-21,18:02,PJM,PSEG,PE000007923975281727,2015,GLP-NON,Null,CON,2.9272
2016-10-21,18:02,PJM,PSEG,PE000007924256693726,2017,GLP-NON,GLP,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007925158304163,2015,LPLS-INT,Null,CON,173.284
2016-10-21,18:02,PJM,PSEG,PE000007925158304163,2016,LPLS-INT,Null,CON,185.239
2016-10-21,18:02,PJM,PSEG,PE000007925944678305,2017,GLP-NON,Null,CON,0.
2016-10-21,18:02,PJM,PSEG,PE000007927836274630,2015,GLP-NON,Null,CON,1.85916
2016-10-21,18:02,PJM,PSEG,PE000007929179582158,2015,GLP-NON,Null,CON,1.17313
2016-10-21,18:02,PJM,PSEG,PE000007929358549178,2015,GLP-NON,Null,CON,0.839815
