RunDate,RunTime,ISO,Utility,PremiseId,Year,RateClass,Strata,MeterType,RecipeICap
2016-11-04,19:47,PJM,PSEG,PE000007893365235403,2016,GLP-NON,GLP,DMD,35.3936
2016-11-04,19:47,PJM,PSEG,PE000007893365235403,2017,GLP-NON,GLP,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007894398242721,2016,GLP-NON,Null,DMD,13.0526
2016-11-04,19:47,PJM,PSEG,PE000007894768644659,2016,GLP-NON,Null,DMD,15.0532
2016-11-04,19:47,PJM,PSEG,PE000007894769444614,2016,GLP-NON,Null,DMD,2.00756
2016-11-04,19:47,PJM,PSEG,PE000007894775144614,2016,GLP-NON,Null,DMD,29.1096
2016-11-04,19:47,PJM,PSEG,PE000007894776944614,2016,GLP-NON,Null,DMD,34.1285
2016-11-04,19:47,PJM,PSEG,PE000007894792644614,2016,GLP-NON,Null,DMD,114.431
2016-11-04,19:47,PJM,PSEG,PE000007894793458881,2016,GLP-NON,Null,DMD,28.1134
2016-11-04,19:47,PJM,PSEG,PE000007894844543331,2016,LPLS-INT,Null,DMD,1828.56
2016-11-04,19:47,PJM,PSEG,PE000007896247904346,2016,GLP-NON,Null,DMD,148.359
2016-11-04,19:47,PJM,PSEG,PE000007896247904346,2017,GLP-NON,Null,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007897005038330,2016,GLP-NON,Null,DMD,0.903744
2016-11-04,19:47,PJM,PSEG,PE000007897005038330,2017,GLP-NON,Null,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007897010086677,2016,GLP-NON,Null,DMD,15.0607
2016-11-04,19:47,PJM,PSEG,PE000007897723812457,2016,GLP-NON,GLP,DMD,72.7763
2016-11-04,19:47,PJM,PSEG,PE000007897723812457,2017,GLP-NON,GLP,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007897803851809,2016,GLP-NON,Null,DMD,6.02429
2016-11-04,19:47,PJM,PSEG,PE000007898047163340,2016,GLP-NON,Null,DMD,7.05882
2016-11-04,19:47,PJM,PSEG,PE000007898047163340,2017,GLP-NON,Null,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007898124844291,2016,LPLS-NON,Null,DMD,532.768
2016-11-04,19:47,PJM,PSEG,PE000007898294969466,2016,LPLS-NON,Null,DMD,233.526
2016-11-04,19:47,PJM,PSEG,PE000007899140306400,2016,GLP-NON,Null,DMD,53.2432
2016-11-04,19:47,PJM,PSEG,PE000007899140306400,2017,GLP-NON,Null,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007899946304868,2016,GLP-NON,Null,DMD,13.1139
2016-11-04,19:47,PJM,PSEG,PE000007899984407373,2016,GLP-NON,GLP,DMD,24.3069
2016-11-04,19:47,PJM,PSEG,PE000007899984407373,2017,GLP-NON,GLP,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007901033684170,2016,GLP-NON,GLP,DMD,32.0242
2016-11-04,19:47,PJM,PSEG,PE000007901033684170,2017,GLP-NON,GLP,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007901623491579,2016,GLP-NON,Null,DMD,2.0791
2016-11-04,19:47,PJM,PSEG,PE000007901623491579,2017,GLP-NON,Null,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007902973238245,2016,GLP-NON,Null,DMD,1.00405
2016-11-04,19:47,PJM,PSEG,PE000007904738770399,2016,GLP-NON,GLP,DMD,1.91242
2016-11-04,19:47,PJM,PSEG,PE000007904738770399,2017,GLP-NON,GLP,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007906437447741,2016,GLP-NON,Null,DMD,6.79776
2016-11-04,19:47,PJM,PSEG,PE000007906752684839,2016,GLP-NON,Null,DMD,9.04199
2016-11-04,19:47,PJM,PSEG,PE000007908018023526,2016,GLP-NON,Null,DMD,6.03713
2016-11-04,19:47,PJM,PSEG,PE000007909260724877,2016,GLP-NON,Null,DMD,7.02834
2016-11-04,19:47,PJM,PSEG,PE000007909295387578,2016,GLP-NON,Null,DMD,12.0486
2016-11-04,19:47,PJM,PSEG,PE000007912140663664,2017,GLP-INT,Null,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007912381685431,2016,GLP-NON,Null,DMD,81.3279
2016-11-04,19:47,PJM,PSEG,PE000007912390777053,2016,GLP-NON,Null,DMD,63.153
2016-11-04,19:47,PJM,PSEG,PE000007912390777053,2017,GLP-NON,Null,DMD,0.
2016-11-04,19:47,PJM,PSEG,PE000007912635523716,2016,GLP-NON,GLP,DMD,28.9304
